AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.374412787548885), np.float64(0.011210830627456397))","(np.float64(0.6169158173243211), np.float64(0.06126951889228486))","(np.float64(0.797570480445029), np.float64(0.3975975569630244))","(np.float64(0.48451735259473444), np.float64(0.10916416929863289))","(np.float64(0.279643810841412), np.float64(0.15245886981266477))","(np.float64(0.4586091684215507), np.float64(0.15009674168080805))","(np.float64(0.994292623650465), np.float64(0.008474902244917796))",1.0
"(np.float64(0.3793761858218816), np.float64(0.005151179930195955))","(np.float64(0.5664902080547611), np.float64(0.060476089366608844))","(np.float64(0.6466292033944387), np.float64(0.47307023475957777))","(np.float64(0.4627527505816344), np.float64(0.13397093255740736))","(np.float64(0.20580885860764847), np.float64(0.1694095538040485))","(np.float64(0.4030504486066338), np.float64(0.1842901810428795))","(np.float64(0.9934344720243697), np.float64(0.0064073041051954))",1.2
"(np.float64(0.3783622753643078), np.float64(0.00447228869977695))","(np.float64(0.6020058126116922), np.float64(0.08488630585961886))","(np.float64(0.3996260477971484), np.float64(0.48702676925739397))","(np.float64(0.3986189696234997), np.float64(0.1402889262919889))","(np.float64(0.20224578521871822), np.float64(0.1643557929260014))","(np.float64(0.4056468785923134), np.float64(0.15561475485824783))","(np.float64(0.9881084000761323), np.float64(0.012082400904720198))",1.4
"(np.float64(0.37032716612734273), np.float64(0.007026626133583455))","(np.float64(0.6093694542028751), np.float64(0.04478956526757824))","(np.float64(0.0019788696735921884), np.float64(4.336808689942018e-19))","(np.float64(0.4937276233677027), np.float64(0.15887418128006664))","(np.float64(0.3700502205236127), np.float64(0.07593930453013337))","(np.float64(0.4962309877407887), np.float64(0.16327963020298933))","(np.float64(0.9304290766591446), np.float64(0.1419073226489121))",1.6
"(np.float64(0.35698037691343976), np.float64(0.014333850380293472))","(np.float64(0.5673653083302537), np.float64(0.05561837919623026))","(np.float64(0.0021733932794414006), np.float64(0.0005835708175476365))","(np.float64(0.41169533420143445), np.float64(0.16513183830565306))","(np.float64(0.34053650304672856), np.float64(0.11992037118915795))","(np.float64(0.44467658703803226), np.float64(0.16066232195560207))","(np.float64(0.9502618485301854), np.float64(0.024681744704319265))",1.8
