AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.802845072606573), np.float64(0.0))","(np.float64(0.848209416155193), np.float64(1.1102230246251565e-16))","(np.float64(0.7067090233103583), np.float64(1.1102230246251565e-16))","(np.float64(0.8225079498107902), np.float64(1.1102230246251565e-16))","(np.float64(0.8403829398099101), np.float64(1.1102230246251565e-16))","(np.float64(0.8261765784420424), np.float64(1.1102230246251565e-16))","(np.float64(0.8429773919122849), np.float64(1.1102230246251565e-16))",0.0
"(np.float64(0.7869874739925151), np.float64(0.043092649867124584))","(np.float64(0.8374807714773619), np.float64(0.008207723798115862))","(np.float64(0.7066869860202782), np.float64(0.0012949270280477754))","(np.float64(0.8138043252244234), np.float64(0.017207666992087277))","(np.float64(0.84216753921734), np.float64(0.0037350869393518193))","(np.float64(0.8316336530348108), np.float64(0.01119318980982791))","(np.float64(0.8440923402460238), np.float64(0.004506168551391492))",0.05
"(np.float64(0.7757372832361462), np.float64(0.04736005244533713))","(np.float64(0.8313718554397184), np.float64(0.008169009680808586))","(np.float64(0.7244191300956677), np.float64(0.028545705921101783))","(np.float64(0.8130295186335863), np.float64(0.016243667534201305))","(np.float64(0.8391408402959974), np.float64(0.005160872602546796))","(np.float64(0.8361870535323263), np.float64(0.012734917065588006))","(np.float64(0.8437574004597017), np.float64(0.005639105210544025))",0.1
"(np.float64(0.7765259245751359), np.float64(0.04392437455722441))","(np.float64(0.8331081039578446), np.float64(0.010150885699090532))","(np.float64(0.7301968329090127), np.float64(0.030340649741496813))","(np.float64(0.8086595266315415), np.float64(0.017865375895407168))","(np.float64(0.8386961795623995), np.float64(0.004613167261604955))","(np.float64(0.828391076132775), np.float64(0.0121612077229037))","(np.float64(0.842249018862993), np.float64(0.004892922165778018))",0.15
"(np.float64(0.8166292206668843), np.float64(0.028225745228268276))","(np.float64(0.8347938174099712), np.float64(0.01024145236663474))","(np.float64(0.7331804851541234), np.float64(0.03063027930809866))","(np.float64(0.814093858357378), np.float64(0.01905602280821186))","(np.float64(0.8402273722188497), np.float64(0.008237772869696063))","(np.float64(0.8371276902925908), np.float64(0.016036989965100303))","(np.float64(0.841916595640232), np.float64(0.005436107839787684))",0.2
"(np.float64(0.8261979180423967), np.float64(0.03158009662926332))","(np.float64(0.8379889458403568), np.float64(0.009983005315803435))","(np.float64(0.7365594540013668), np.float64(0.0302276126809119))","(np.float64(0.8136648585718744), np.float64(0.017145386993566436))","(np.float64(0.8431245606664071), np.float64(0.005865343990676714))","(np.float64(0.8332012392680743), np.float64(0.016340729445248874))","(np.float64(0.8431582847348709), np.float64(0.009575602659086723))",0.25
