AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.024764495342063854), np.float64(0.022901362733471344))","(np.float64(0.00045137520100296856), np.float64(0.0005964850081721282))","(np.float64(0.0020761314765167945), np.float64(0.00042395437001492667))","(np.float64(0.0003179894170722261), np.float64(0.0004305588526875602))","(np.float64(3.0883688135116674e-05), np.float64(3.301838390123698e-05))","(np.float64(0.00023447101854395534), np.float64(0.00028870857137653895))","(np.float64(0.0002641339088608116), np.float64(0.00028428194058380404))",1.0
"(np.float64(0.03757284006464052), np.float64(0.017992568423746403))","(np.float64(0.00020201393137996427), np.float64(0.00034692786776132224))","(np.float64(0.0019788696735921884), np.float64(4.336808689942018e-19))","(np.float64(0.0003578522687246983), np.float64(0.0008458137348593732))","(np.float64(5.0940856072589326e-05), np.float64(7.038107283147202e-05))","(np.float64(0.0001907119383017969), np.float64(0.00021890568678392528))","(np.float64(0.00029037647111160184), np.float64(0.00037540170536415546))",1.2
"(np.float64(0.05251502409146628), np.float64(0.014169675849700358))","(np.float64(0.00018514117244731554), np.float64(0.00021545359047965072))","(np.float64(0.002365075306088317), np.float64(0.0011586168974883854))","(np.float64(0.00040472019675954156), np.float64(0.00042750908686666514))","(np.float64(5.209987325048613e-05), np.float64(5.6863042130058815e-05))","(np.float64(0.0001851382330839449), np.float64(0.0002132215754337852))","(np.float64(0.00047903647630607256), np.float64(0.0012543689475060773))",1.4
"(np.float64(0.05723611706426561), np.float64(0.013917282704920132))","(np.float64(0.00021814156065702068), np.float64(0.00024751322333696035))","(np.float64(0.0020761314765167945), np.float64(0.00042395437001492667))","(np.float64(0.0005035758196695533), np.float64(0.0006772521453175015))","(np.float64(5.3980098923921987e-05), np.float64(7.329786855114988e-05))","(np.float64(0.00025748308860886376), np.float64(0.0003283446423449114))","(np.float64(0.00046585220870385953), np.float64(0.0006009149506225323))",1.6
"(np.float64(0.05394131397448367), np.float64(0.010076494158568726))","(np.float64(0.000153660123475525), np.float64(0.00018553305428324634))","(np.float64(0.0020761314765167945), np.float64(0.00042395437001492667))","(np.float64(0.0003195037418851419), np.float64(0.0004476313593563085))","(np.float64(8.600764636402012e-05), np.float64(0.00010952468199040843))","(np.float64(0.00044326222839211955), np.float64(0.00040297040719415524))","(np.float64(0.00048699208837740804), np.float64(0.000569613064853408))",1.8
