AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.2771570190536551), np.float64(1.1102230246251565e-16))","(np.float64(1.0), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.5639619529881225), np.float64(1.1102230246251565e-16))","(np.float64(0.06773080845193383), np.float64(2.7755575615628914e-17))","(np.float64(0.5615896365639181), np.float64(1.1102230246251565e-16))","(np.float64(1.0), np.float64(0.0))",0.0
"(np.float64(0.2549877016806952), np.float64(0.023562046127673472))","(np.float64(0.6418915143656732), np.float64(0.09329765946945902))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.592303115962842), np.float64(0.046941306437439545))","(np.float64(0.14530110178395103), np.float64(0.143612438438916))","(np.float64(0.6146996033727292), np.float64(0.05149626928692952))","(np.float64(1.0), np.float64(0.0))",0.05
"(np.float64(0.27359527459614197), np.float64(0.039048500096306685))","(np.float64(0.6209014493028662), np.float64(0.060984898499614575))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.5135642769035518), np.float64(0.09923927288408675))","(np.float64(0.09916158895362588), np.float64(0.09233517433810157))","(np.float64(0.5814068763705874), np.float64(0.07798878132397091))","(np.float64(1.0), np.float64(0.0))",0.1
"(np.float64(0.2875322484566751), np.float64(0.030142138458790123))","(np.float64(0.6035001403171403), np.float64(0.06258223901549193))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.5781491334139899), np.float64(0.06398817978261631))","(np.float64(0.1594874950539658), np.float64(0.1500327062620606))","(np.float64(0.601671929584506), np.float64(0.03819598250050762))","(np.float64(1.0), np.float64(0.0))",0.15
"(np.float64(0.31009135644697305), np.float64(0.041781614443523934))","(np.float64(0.6262653552175451), np.float64(0.04983559972196962))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.562667348428594), np.float64(0.0747858337894755))","(np.float64(0.15890458695765033), np.float64(0.1502119764888938))","(np.float64(0.5498088923456533), np.float64(0.12400135333699346))","(np.float64(1.0), np.float64(0.0))",0.2
"(np.float64(0.30061802318257175), np.float64(0.0352257870662707))","(np.float64(0.6156091316870808), np.float64(0.050871639558665555))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.5493001501478604), np.float64(0.0778882987792912))","(np.float64(0.20959023942837712), np.float64(0.16000246497665724))","(np.float64(0.5681860263822152), np.float64(0.12001977390562442))","(np.float64(1.0), np.float64(0.0))",0.25
