AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.7324869947913317), np.float64(0.02399583751725103))","(np.float64(0.7915877499162962), np.float64(0.009741002168105837))","(np.float64(0.5853926855758105), np.float64(0.10287120007326865))","(np.float64(0.7648743618506569), np.float64(0.017551369825943255))","(np.float64(0.8012395319732473), np.float64(0.011185169823470117))","(np.float64(0.7790556625735683), np.float64(0.013779407358966236))","(np.float64(0.788735016357488), np.float64(0.015498951216586974))",1.0
"(np.float64(0.7011620178793956), np.float64(0.03079421458474581))","(np.float64(0.7761953800523516), np.float64(0.014484206779909773))","(np.float64(0.5527038046629944), np.float64(0.10961461877261205))","(np.float64(0.7554696457907242), np.float64(0.015328741913976885))","(np.float64(0.7858438536713701), np.float64(0.009282734296471909))","(np.float64(0.7713511655793728), np.float64(0.011700668380598871))","(np.float64(0.775572454554091), np.float64(0.00978538850705547))",1.2
"(np.float64(0.6823086390131506), np.float64(0.027396016861390673))","(np.float64(0.7645303300245867), np.float64(0.010609027897911419))","(np.float64(0.4727402173994927), np.float64(0.09281512469216084))","(np.float64(0.7349122301658291), np.float64(0.018829495623324595))","(np.float64(0.7659320628017043), np.float64(0.009120797952179687))","(np.float64(0.749467835635826), np.float64(0.012688424005975397))","(np.float64(0.7512693962357879), np.float64(0.014024938959130545))",1.4
"(np.float64(0.6602680074756855), np.float64(0.018975814294537388))","(np.float64(0.7461275864664129), np.float64(0.012882021316098512))","(np.float64(0.4508560457221809), np.float64(0.07688729012256032))","(np.float64(0.7118460538582972), np.float64(0.018719489781659555))","(np.float64(0.7469511625439018), np.float64(0.008699221760964068))","(np.float64(0.734244060069413), np.float64(0.011777786740470898))","(np.float64(0.7314029265980858), np.float64(0.014712957369259034))",1.6
"(np.float64(0.6293097799035687), np.float64(0.024804889901255928))","(np.float64(0.7325118017126104), np.float64(0.009612736240626682))","(np.float64(0.38913120970062437), np.float64(0.1311326345289599))","(np.float64(0.6893213303269167), np.float64(0.015693756079057843))","(np.float64(0.731003859168246), np.float64(0.011825640015511637))","(np.float64(0.7184127558931372), np.float64(0.014880510122191227))","(np.float64(0.713059905665027), np.float64(0.01309079405849434))",1.8
