AP,A-Link,S-link,C-link,Zell,D-kernel,PIC,noise_level
"(np.float64(0.08311062463501898), np.float64(1.3877787807814457e-17))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0019788696735921884), np.float64(4.336808689942018e-19))","(np.float64(2.6973891101946705e-05), np.float64(3.3881317890172014e-21))","(np.float64(0.00010387653606556444), np.float64(1.3552527156068805e-20))","(np.float64(0.00023440392994879952), np.float64(2.710505431213761e-20))","(np.float64(4.7998597209681275e-05), np.float64(0.0))",0.0
"(np.float64(0.002552899051791777), np.float64(0.0009328698301925627))","(np.float64(0.000289621169627722), np.float64(0.00030615234957534173))","(np.float64(0.0023780902285296937), np.float64(0.0012799884105472415))","(np.float64(0.00034110383689364514), np.float64(0.0003931353731757404))","(np.float64(4.9449305382312815e-05), np.float64(6.199823915743126e-05))","(np.float64(0.00017096939362111626), np.float64(0.0001997358067020781))","(np.float64(0.001062296612867849), np.float64(0.0019270824534096645))",0.05
"(np.float64(0.0027495834073794187), np.float64(0.0010343699796444919))","(np.float64(0.000177011460332791), np.float64(0.00024242618355952984))","(np.float64(0.0021851352207604554), np.float64(4.103537396315516e-05))","(np.float64(0.00033815262504210616), np.float64(0.0003462542352423108))","(np.float64(7.713812989200891e-05), np.float64(0.00010877003738859361))","(np.float64(0.00028457455293716524), np.float64(0.00028106454585023207))","(np.float64(0.0014042796236696821), np.float64(0.0022557079312136344))",0.1
"(np.float64(0.005354968494910168), np.float64(0.009082317110678978))","(np.float64(0.0002484225168090465), np.float64(0.00019850026547278162))","(np.float64(0.0032532445839552593), np.float64(0.002173822799998187))","(np.float64(0.00033676847708547647), np.float64(0.00045639883394145615))","(np.float64(0.00017940614749089952), np.float64(0.0002795902446060921))","(np.float64(0.0005259840470693154), np.float64(0.0007468623321830907))","(np.float64(0.0005087552760928059), np.float64(0.0014089832462734135))",0.15
"(np.float64(0.0032082027139276803), np.float64(0.0010419874578140806))","(np.float64(0.000606287376396491), np.float64(0.000768405492359613))","(np.float64(0.0026954874638971203), np.float64(0.0010425804100637262))","(np.float64(0.0008781386051844007), np.float64(0.0009071162654635421))","(np.float64(0.0001376596953113563), np.float64(0.00019933496382222135))","(np.float64(0.000640274209780848), np.float64(0.0009113559921387983))","(np.float64(0.0006176183639855259), np.float64(0.0005672121135494361))",0.2
"(np.float64(0.005576247279086122), np.float64(0.0066555551545274755))","(np.float64(0.000681516451609937), np.float64(0.0009210689560211981))","(np.float64(0.0027696120005003986), np.float64(0.0005653030911491827))","(np.float64(0.000711396766762342), np.float64(0.0006928323064474863))","(np.float64(0.00013205255011344), np.float64(0.00013501832423547637))","(np.float64(0.0006581012475627896), np.float64(0.0009753058861435794))","(np.float64(0.00063818353093055), np.float64(0.0010383877659390559))",0.25
